igre,disciplina,mesto,drzava,ime,rezultat
Chamonix 1924,500m-men,1,USA,Charles Jewtraw,44.00
Chamonix 1924,500m-men,2,NOR,Oskar Olsen,44.20
Chamonix 1924,500m-men,3,NOR,Roald Larsen,44.80
Chamonix 1924,500m-men,3,FIN,Clas Thunberg,44.80
Chamonix 1924,500m-men,5,FIN,Asser Wallenius,45.00
Chamonix 1924,500m-men,6,SWE,Axel Blomqvist,45.20
Chamonix 1924,500m-men,7,CAN,Charlie Gorman,45.40
Chamonix 1924,500m-men,8,USA,Joe Moore,45.60
Chamonix 1924,500m-men,8,NOR,Harald Ström,45.60
Chamonix 1924,500m-men,10,FIN,Julius Skutnabb,46.40
Chamonix 1924,500m-men,11,SWE,Erik Blomgren,46.60
Chamonix 1924,500m-men,12,USA,Harry F. Kaskey,47.00
Chamonix 1924,500m-men,13,NOR,Sigurd Moen,47.20
Chamonix 1924,500m-men,14,USA,William E. Steinmetz,47.80
Chamonix 1924,500m-men,15,FRA,Léon Quaglia,48.40
Chamonix 1924,500m-men,16,LAT,Alberts Rumba,48.80
Chamonix 1924,500m-men,17,POL,Leon Jucewicz,49.60
Chamonix 1924,500m-men,18,FRA,Albert Hassler,50.60
Chamonix 1924,500m-men,19,BEL,Louis De Ridder,52.80
Chamonix 1924,500m-men,20,FRA,André Gegout,53.20
Chamonix 1924,500m-men,21,FRA,Georges Frédéric De Wilde,54.80
Chamonix 1924,500m-men,22,BEL,Gaston Van Hazebroeck,55.80
Chamonix 1924,500m-men,23,GBR,Fred Dix,56.40
Chamonix 1924,500m-men,23,BEL,Philippe Van Volckxsom,56.40
Chamonix 1924,500m-men,25,GBR,Tom Sutton,1:00.80
Chamonix 1924,500m-men,26,BEL,Marcel T. Moens,1:02.20
Chamonix 1924,500m-men,27,GBR,Cyril Walter Horn,1:04.40
Chamonix 1924,1500m-men,1,FIN,Clas Thunberg,2:20.80
Chamonix 1924,1500m-men,2,NOR,Roald Larsen,2:22.00
Chamonix 1924,1500m-men,3,NOR,Sigurd Moen,2:25.60
Chamonix 1924,1500m-men,4,FIN,Julius Skutnabb,2:26.60
Chamonix 1924,1500m-men,5,NOR,Harald Ström,2:29.00
Chamonix 1924,1500m-men,6,NOR,Oskar Olsen,2:29.20
Chamonix 1924,1500m-men,7,USA,Harry F. Kaskey,2:29.80
Chamonix 1924,1500m-men,8,USA,Charles Jewtraw,2:31.60
Chamonix 1924,1500m-men,8,USA,Joe Moore,2:31.60
Chamonix 1924,1500m-men,10,LAT,Alberts Rumba,2:32.00
Chamonix 1924,1500m-men,11,CAN,Charlie Gorman,2:35.40
Chamonix 1924,1500m-men,12,USA,William E. Steinmetz,2:36.00
Chamonix 1924,1500m-men,13,SWE,Axel Blomqvist,2:36.40
Chamonix 1924,1500m-men,14,FRA,Léon Quaglia,2:37.00
Chamonix 1924,1500m-men,15,POL,Leon Jucewicz,2:42.60
Chamonix 1924,1500m-men,16,FRA,André Gegout,2:54.40
Chamonix 1924,1500m-men,17,BEL,Gaston Van Hazebroeck,2:54.80
Chamonix 1924,1500m-men,18,FRA,Georges Frédéric De Wilde,2:55.00
Chamonix 1924,1500m-men,19,BEL,Louis De Ridder,3:01.80
Chamonix 1924,1500m-men,20,BEL,Philippe Van Volckxsom,3:14.60
Chamonix 1924,1500m-men,21,BEL,Marcel T. Moens,3:16.80
Chamonix 1924,5000m-men,1,FIN,Clas Thunberg,8:39.00
Chamonix 1924,5000m-men,2,FIN,Julius Skutnabb,8:48.40
Chamonix 1924,5000m-men,3,NOR,Roald Larsen,8:50.20
Chamonix 1924,5000m-men,4,NOR,Sigurd Moen,8:51.00
Chamonix 1924,5000m-men,5,NOR,Harald Ström,8:54.60
Chamonix 1924,5000m-men,6,USA,Valentine Bialas,8:55.00
Chamonix 1924,5000m-men,7,NOR,Frithjof Paulsen,8:59.00
Chamonix 1924,5000m-men,8,USA,Richard E. Donovan,9:05.60
Chamonix 1924,5000m-men,9,FRA,Léon Quaglia,9:08.60
Chamonix 1924,5000m-men,10,FIN,Asser Wallenius,9:12.80
Chamonix 1924,5000m-men,11,LAT,Alberts Rumba,9:14.40
Chamonix 1924,5000m-men,12,SWE,Erik Blomgren,9:14.60
Chamonix 1924,5000m-men,13,USA,Charles Jewtraw,9:27.00
Chamonix 1924,5000m-men,14,USA,William E. Steinmetz,9:35.00
Chamonix 1924,5000m-men,15,SWE,Axel Blomqvist,9:48.80
Chamonix 1924,5000m-men,16,POL,Leon Jucewicz,10:05.60
Chamonix 1924,5000m-men,17,BEL,Gaston Van Hazebroeck,10:13.80
Chamonix 1924,5000m-men,18,FRA,André Gegout,10:15.20
Chamonix 1924,5000m-men,19,FRA,Georges Frédéric De Wilde,10:39.80
Chamonix 1924,5000m-men,20,GBR,Albert Tebbit,11:01.00
Chamonix 1924,5000m-men,21,BEL,Marcel T. Moens,11:30.40
Chamonix 1924,10000m-men,1,FIN,Julius Skutnabb,18:04.80
Chamonix 1924,10000m-men,2,FIN,Clas Thunberg,18:07.80
Chamonix 1924,10000m-men,3,NOR,Roald Larsen,18:12.20
Chamonix 1924,10000m-men,4,NOR,Frithjof Paulsen,18:13.00
Chamonix 1924,10000m-men,5,NOR,Harald Ström,18:18.60
Chamonix 1924,10000m-men,6,NOR,Sigurd Moen,18:19.00
Chamonix 1924,10000m-men,7,FRA,Léon Quaglia,18:25.00
Chamonix 1924,10000m-men,8,USA,Valentine Bialas,18:34.00
Chamonix 1924,10000m-men,9,USA,Richard E. Donovan,18:57.00
Chamonix 1924,10000m-men,10,FIN,Asser Wallenius,19:03.80
Chamonix 1924,10000m-men,11,LAT,Alberts Rumba,19:14.60
Chamonix 1924,10000m-men,12,USA,Joe Moore,19:36.20
Chamonix 1924,10000m-men,13,USA,Harry F. Kaskey,19:45.20
Chamonix 1924,10000m-men,14,POL,Leon Jucewicz,20:40.80
Chamonix 1924,10000m-men,15,FRA,André Gegout,21:03.40
St Moritz 1928,500m-men,1,NOR,Bernt Evensen,43.40
St Moritz 1928,500m-men,1,FIN,Clas Thunberg,43.40
St Moritz 1928,500m-men,3,USA,John O Farrell,43.60
St Moritz 1928,500m-men,3,FIN,Jaakko Friman,43.60
St Moritz 1928,500m-men,3,NOR,Roald Larsen,43.60
St Moritz 1928,500m-men,6,NOR,Haakon Pedersen,43.80
St Moritz 1928,500m-men,7,CAN,Charlie Gorman,43.90
St Moritz 1928,500m-men,8,FIN,Bertel Backmann,44.40
St Moritz 1928,500m-men,9,NOR,Oskar Olsen,44.70
St Moritz 1928,500m-men,10,USA,Edward Murphy,44.90
St Moritz 1928,500m-men,11,USA,Irving Jaffee,45.20
St Moritz 1928,500m-men,11,CAN,William F. Logan,45.20
St Moritz 1928,500m-men,11,FIN,Toivo Ovaska,45.20
St Moritz 1928,500m-men,14,CAN,Ross Robinson,45.90
St Moritz 1928,500m-men,15,EST,Christfried Burmeister,46.20
St Moritz 1928,500m-men,16,LAT,Alberts Rumba,46.30
St Moritz 1928,500m-men,17,USA,Valentine Bialas,46.50
St Moritz 1928,500m-men,18,AUT,Fritz Moser,46.70
St Moritz 1928,500m-men,19,HUN,Zoltan Eötvös,46.80
St Moritz 1928,500m-men,20,GER,Fritz Jungblut,47.20
St Moritz 1928,500m-men,21,AUT,Otto Polacsek,47.50
St Moritz 1928,500m-men,22,EST,Alexander Mitt,47.70
St Moritz 1928,500m-men,23,SWE,Gustaf Andersson Gabeling,47.90
St Moritz 1928,500m-men,24,GER,Erhard Mayke,49.10
St Moritz 1928,500m-men,24,AUT,Rudolf Riedl,49.10
St Moritz 1928,500m-men,26,FRA,Léon Quaglia,49.50
St Moritz 1928,500m-men,27,NED,Simon Heiden,49.90
St Moritz 1928,500m-men,28,LTU,Kestutis Bulota,50.10
St Moritz 1928,500m-men,28,FRA,Charles François Thaon,50.10
St Moritz 1928,500m-men,30,GBR,Fred Dix,53.40
St Moritz 1928,500m-men,31,GBR,Len Stewart,54.80
St Moritz 1928,500m-men,32,GBR,Cyril Walter Horn,54.90
St Moritz 1928,500m-men,33,NED,Willem Kos,56.20
St Moritz 1928,1500m-men,1,FIN,Clas Thunberg,2:21.10
St Moritz 1928,1500m-men,2,NOR,Bernt Evensen,2:21.90
St Moritz 1928,1500m-men,3,NOR,Ivar Ballangrud,2:22.60
St Moritz 1928,1500m-men,4,NOR,Roald Larsen,2:25.30
St Moritz 1928,1500m-men,5,USA,Edward Murphy,2:25.90
St Moritz 1928,1500m-men,6,USA,Valentine Bialas,2:26.30
St Moritz 1928,1500m-men,7,USA,Irving Jaffee,2:26.70
St Moritz 1928,1500m-men,8,USA,John O Farrell,2:26.80
St Moritz 1928,1500m-men,9,SWE,Gustaf Andersson Gabeling,2:27.50
St Moritz 1928,1500m-men,10,HUN,Zoltan Eötvös,2:27.90
St Moritz 1928,1500m-men,11,GER,Fritz Jungblut,2:28.20
St Moritz 1928,1500m-men,12,CAN,Charlie Gorman,2:28.40
St Moritz 1928,1500m-men,13,NOR,Wollert Nygren,2:28.70
St Moritz 1928,1500m-men,14,LAT,Alberts Rumba,2:28.90
St Moritz 1928,1500m-men,15,FIN,Toivo Ovaska,2:29.30
St Moritz 1928,1500m-men,16,AUT,Fritz Moser,2:31.40
St Moritz 1928,1500m-men,17,CAN,Ross Robinson,2:32.30
St Moritz 1928,1500m-men,18,NED,Simon Heiden,2:33.10
St Moritz 1928,1500m-men,19,EST,Christfried Burmeister,2:33.60
St Moritz 1928,1500m-men,20,EST,Alexander Mitt,2:35.00
St Moritz 1928,1500m-men,21,CAN,William F. Logan,2:35.60
St Moritz 1928,1500m-men,22,AUT,Rudolf Riedl,2:37.80
St Moritz 1928,1500m-men,23,GER,Arthur Vollstedt,2:39.90
St Moritz 1928,1500m-men,24,GBR,Cyril Walter Horn,2:40.00
St Moritz 1928,1500m-men,25,LTU,Kestutis Bulota,2:40.90
St Moritz 1928,1500m-men,26,FRA,Charles François Thaon,2:44.20
St Moritz 1928,1500m-men,27,GBR,Len Stewart,2:48.90
St Moritz 1928,1500m-men,28,GBR,Fred Dix,2:49.60
St Moritz 1928,1500m-men,29,NED,Willem Kos,2:49.90
St Moritz 1928,5000m-men,1,NOR,Ivar Ballangrud,8:50.50
St Moritz 1928,5000m-men,2,FIN,Julius Skutnabb,8:59.10
St Moritz 1928,5000m-men,3,NOR,Bernt Evensen,9:01.10
St Moritz 1928,5000m-men,4,USA,Irving Jaffee,9:01.30
St Moritz 1928,5000m-men,5,NOR,Armand Henning Carlsen,9:01.50
St Moritz 1928,5000m-men,6,USA,Valentine Bialas,9:06.30
St Moritz 1928,5000m-men,7,NOR,Michael Staksrud,9:07.30
St Moritz 1928,5000m-men,8,AUT,Otto Polacsek,9:08.90
St Moritz 1928,5000m-men,9,SWE,Gustaf Andersson Gabeling,9:09.70
St Moritz 1928,5000m-men,10,FIN,Ossian Blomqvist,9:09.90
St Moritz 1928,5000m-men,11,NED,Simon Heiden,9:10.00
St Moritz 1928,5000m-men,12,FIN,Clas Thunberg,9:11.80
St Moritz 1928,5000m-men,13,FIN,Bertel Backmann,9:14.00
St Moritz 1928,5000m-men,14,USA,Edward Murphy,9:19.50
St Moritz 1928,5000m-men,15,LAT,Alberts Rumba,9:19.70
St Moritz 1928,5000m-men,16,GER,Fritz Jungblut,9:26.70
St Moritz 1928,5000m-men,17,USA,John O Farrell,9:29.20
St Moritz 1928,5000m-men,18,FRA,Léon Quaglia,9:33.30
St Moritz 1928,5000m-men,19,NED,Willem Kos,9:34.20
St Moritz 1928,5000m-men,20,HUN,Zoltan Eötvös,9:34.40
St Moritz 1928,5000m-men,21,EST,Alexander Mitt,9:35.20
St Moritz 1928,5000m-men,22,CAN,Ross Robinson,9:38.90
St Moritz 1928,5000m-men,23,GBR,Cyril Walter Horn,9:45.00
St Moritz 1928,5000m-men,24,EST,Christfried Burmeister,9:46.20
St Moritz 1928,5000m-men,25,LTU,Kestutis Bulota,9:49.80
St Moritz 1928,5000m-men,26,AUT,Rudolf Riedl,9:53.50
St Moritz 1928,5000m-men,27,AUT,Fritz Moser,9:57.80
St Moritz 1928,5000m-men,28,GER,Arthur Vollstedt,9:58.50
St Moritz 1928,5000m-men,29,CAN,William F. Logan,10:10.30
St Moritz 1928,5000m-men,30,FRA,Charles François Thaon,10:18.80
St Moritz 1928,5000m-men,31,GBR,Len Stewart,10:40.00
St Moritz 1928,5000m-men,32,GBR,Fred Dix,10:55.60
Lake Placid 1932,500m-men,1,USA,Jack Shea,43.40
Lake Placid 1932,500m-men,2,NOR,Bernt Evensen,Did not start
Lake Placid 1932,500m-men,3,CAN,Alex Hurd,Did not start
Lake Placid 1932,500m-men,4,CAN,Frank Stack,Did not start
Lake Placid 1932,500m-men,5,CAN,William F. Logan,Did not start
Lake Placid 1932,500m-men,6,USA,John O Farrell,Did not start
Lake Placid 1932,1500m-men,1,USA,Jack Shea,2:57.50
Lake Placid 1932,1500m-men,2,CAN,Alex Hurd,Did not start
Lake Placid 1932,1500m-men,3,CAN,William F. Logan,Did not start
Lake Placid 1932,1500m-men,4,CAN,Frank Stack,Did not start
Lake Placid 1932,1500m-men,5,USA,Raymond V. Murray,Did not start
Lake Placid 1932,1500m-men,6,USA,Herbert G. Taylor,Did not start
Lake Placid 1932,5000m-men,1,USA,Irving Jaffee,9:40.80
Lake Placid 1932,5000m-men,2,USA,Edward Murphy,Did not start
Lake Placid 1932,5000m-men,3,CAN,William F. Logan,Did not start
Lake Placid 1932,5000m-men,4,USA,Herbert G. Taylor,Did not start
Lake Placid 1932,5000m-men,5,NOR,Ivar Ballangrud,Did not start
Lake Placid 1932,5000m-men,6,NOR,Bernt Evensen,Did not start
Lake Placid 1932,5000m-men,7,CAN,Frank Stack,Did not start
Lake Placid 1932,5000m-men,8,CAN,C. Harry Smyth,Did not start
Lake Placid 1932,10000m-men,1,USA,Irving Jaffee,19:13.60
Lake Placid 1932,10000m-men,2,NOR,Ivar Ballangrud,Did not start
Lake Placid 1932,10000m-men,3,CAN,Frank Stack,Did not start
Lake Placid 1932,10000m-men,4,USA,Edwin Wedge,Did not start
Lake Placid 1932,10000m-men,5,USA,Valentine Bialas,Did not start
Lake Placid 1932,10000m-men,6,NOR,Bernt Evensen,Did not start
Lake Placid 1932,10000m-men,7,CAN,Alex Hurd,Did not start
Lake Placid 1932,10000m-men,8,USA,Edward Julius Schroeder,Did not start
Garmisch Partenkirchen 1936,500m-men,1,NOR,Ivar Ballangrud,43.40
Garmisch Partenkirchen 1936,500m-men,2,NOR,Georg Krog,43.50
Garmisch Partenkirchen 1936,500m-men,3,USA,Leo Freisinger,44.00
Garmisch Partenkirchen 1936,500m-men,4,JPN,Shozo Ishihara,44.10
Garmisch Partenkirchen 1936,500m-men,5,USA,Delbert Thomas Lamb,44.20
Garmisch Partenkirchen 1936,500m-men,6,AUT,Karl Leban,44.80
Garmisch Partenkirchen 1936,500m-men,6,USA,Allan W. Potts,44.80
Garmisch Partenkirchen 1936,500m-men,8,FIN,Antero Ojala,44.90
Garmisch Partenkirchen 1936,500m-men,8,FIN,Jorma Ruissalo,44.90
Garmisch Partenkirchen 1936,500m-men,8,FIN,Birger Wasenius,44.90
Garmisch Partenkirchen 1936,500m-men,11,JPN,Reikichi Nakamura,45.00
Garmisch Partenkirchen 1936,500m-men,11,USA,Robert Grover Petersen,45.00
Garmisch Partenkirchen 1936,500m-men,13,AUT,Karl Wazulek,45.10
Garmisch Partenkirchen 1936,500m-men,14,LAT,Alfons Bērziņš,45.70
Garmisch Partenkirchen 1936,500m-men,14,NED,Adolf Fredrik Van Der Scheer,45.70
Garmisch Partenkirchen 1936,500m-men,16,LAT,Janis Andriksons,45.90
Garmisch Partenkirchen 1936,500m-men,16,JPN,Seitoku Ri,45.90
Garmisch Partenkirchen 1936,500m-men,18,SWE,Axel Johansson,46.10
Garmisch Partenkirchen 1936,500m-men,19,FIN,Ossian Blomqvist,46.20
Garmisch Partenkirchen 1936,500m-men,19,GER,Willi Sandner,46.20
Garmisch Partenkirchen 1936,500m-men,21,AUT,Ferdinand Preindl,46.40
Garmisch Partenkirchen 1936,500m-men,22,EST,Alexander Mitt,46.60
Garmisch Partenkirchen 1936,500m-men,22,JPN,Kunio Nando,46.60
Garmisch Partenkirchen 1936,500m-men,24,NED,Luitzen Dijkstra,46.70
Garmisch Partenkirchen 1936,500m-men,24,NED,Jan Langedijk,46.70
Garmisch Partenkirchen 1936,500m-men,24,AUT,Gustav Slanec,46.70
Garmisch Partenkirchen 1936,500m-men,27,NED,Berndt Stephan Blaisse,46.90
Garmisch Partenkirchen 1936,500m-men,28,GER,Heinz Sames,47.00
Garmisch Partenkirchen 1936,500m-men,29,AUS,George Kenneth Kennedy,47.40
Garmisch Partenkirchen 1936,500m-men,30,TCH,Jaromir Turnovsky,47.80
Garmisch Partenkirchen 1936,500m-men,31,CAN,Thomas White,49.60
Garmisch Partenkirchen 1936,500m-men,32,TCH,Oldrich Hanc,49.80
Garmisch Partenkirchen 1936,500m-men,33,BEL,James Graeffe,54.60
Garmisch Partenkirchen 1936,500m-men,34,NOR,Harry Haraldsen,54.90
Garmisch Partenkirchen 1936,500m-men,35,BEL,Charles De Ligne,1:44.60
Garmisch Partenkirchen 1936,1500m-men,1,NOR,Charles Mathisen,2:19.20
Garmisch Partenkirchen 1936,1500m-men,2,NOR,Ivar Ballangrud,2:20.20
Garmisch Partenkirchen 1936,1500m-men,3,FIN,Birger Wasenius,2:20.90
Garmisch Partenkirchen 1936,1500m-men,4,USA,Leo Freisinger,2:21.30
Garmisch Partenkirchen 1936,1500m-men,5,AUT,Max Stiepl,2:21.60
Garmisch Partenkirchen 1936,1500m-men,6,AUT,Karl Wazulek,2:22.20
Garmisch Partenkirchen 1936,1500m-men,7,NOR,Harry Haraldsen,2:22.40
Garmisch Partenkirchen 1936,1500m-men,8,NOR,Hans Engnestangen,2:23.00
Garmisch Partenkirchen 1936,1500m-men,9,FIN,Ossian Blomqvist,2:23.20
Garmisch Partenkirchen 1936,1500m-men,9,FIN,Antero Ojala,2:23.20
Garmisch Partenkirchen 1936,1500m-men,9,NED,Adolf Fredrik Van Der Scheer,2:23.20
Garmisch Partenkirchen 1936,1500m-men,12,AUT,Karl Leban,2:24.30
Garmisch Partenkirchen 1936,1500m-men,12,USA,Edward Julius Schroeder,2:24.30
Garmisch Partenkirchen 1936,1500m-men,14,NED,Jan Langedijk,2:24.60
Garmisch Partenkirchen 1936,1500m-men,15,JPN,Seien Kin,2:25.00
Garmisch Partenkirchen 1936,1500m-men,16,GER,Willi Sandner,2:25.30
Garmisch Partenkirchen 1936,1500m-men,17,USA,Robert Grover Petersen,2:25.40
Garmisch Partenkirchen 1936,1500m-men,18,LAT,Alfons Bērziņš,2:25.80
Garmisch Partenkirchen 1936,1500m-men,19,JPN,Shozo Ishihara,2:26.70
Garmisch Partenkirchen 1936,1500m-men,20,NED,Luitzen Dijkstra,2:27.20
Garmisch Partenkirchen 1936,1500m-men,20,FIN,Ake Ekman,2:27.20
Garmisch Partenkirchen 1936,1500m-men,22,EST,Alexander Mitt,2:27.80
Garmisch Partenkirchen 1936,1500m-men,23,LAT,Janis Andriksons,2:28.90
Garmisch Partenkirchen 1936,1500m-men,23,JPN,Seitoku Ri,2:28.90
Garmisch Partenkirchen 1936,1500m-men,25,HUN,Laszlo Hidveghy,2:29.00
Garmisch Partenkirchen 1936,1500m-men,25,AUT,Ferdinand Preindl,2:29.00
Garmisch Partenkirchen 1936,1500m-men,27,GER,Heinz Sames,2:29.30
Garmisch Partenkirchen 1936,1500m-men,28,JPN,Yasuo Kawamura,2:29.60
Garmisch Partenkirchen 1936,1500m-men,29,SWE,Axel Johansson,2:29.90
Garmisch Partenkirchen 1936,1500m-men,30,NED,Roelof Koops,2:30.00
Garmisch Partenkirchen 1936,1500m-men,31,TCH,Jaromir Turnovsky,2:30.50
Garmisch Partenkirchen 1936,1500m-men,32,USA,Allan W. Potts,2:31.20
Garmisch Partenkirchen 1936,1500m-men,33,AUS,George Kenneth Kennedy,2:31.80
Garmisch Partenkirchen 1936,1500m-men,34,CAN,Thomas White,2:34.20
Garmisch Partenkirchen 1936,1500m-men,35,TCH,Oldrich Hanc,2:57.80
Garmisch Partenkirchen 1936,1500m-men,36,BEL,James Graeffe,3:00.50
Garmisch Partenkirchen 1936,1500m-men,37,BEL,Charles De Ligne,3:21.90
Garmisch Partenkirchen 1936,5000m-men,1,NOR,Ivar Ballangrud,8:19.60
Garmisch Partenkirchen 1936,5000m-men,2,FIN,Birger Wasenius,8:23.30
Garmisch Partenkirchen 1936,5000m-men,3,FIN,Antero Ojala,8:30.10
Garmisch Partenkirchen 1936,5000m-men,4,NED,Jan Langedijk,8:32.00
Garmisch Partenkirchen 1936,5000m-men,5,AUT,Max Stiepl,8:35.00
Garmisch Partenkirchen 1936,5000m-men,6,FIN,Ossian Blomqvist,8:36.60
Garmisch Partenkirchen 1936,5000m-men,7,NOR,Charles Mathisen,8:36.90
Garmisch Partenkirchen 1936,5000m-men,8,AUT,Karl Wazulek,8:38.40
Garmisch Partenkirchen 1936,5000m-men,9,NOR,Michael Staksrud,8:38.50
Garmisch Partenkirchen 1936,5000m-men,10,NED,Adolf Fredrik Van Der Scheer,8:43.30
Garmisch Partenkirchen 1936,5000m-men,11,USA,Robert Grover Petersen,8:46.50
Garmisch Partenkirchen 1936,5000m-men,12,POL,Janusz Kalbarczyk,8:47.70
Garmisch Partenkirchen 1936,5000m-men,13,NED,Roelof Koops,8:48.50
Garmisch Partenkirchen 1936,5000m-men,13,GER,Heinz Sames,8:48.50
Garmisch Partenkirchen 1936,5000m-men,15,USA,Edward Julius Schroeder,8:49.10
Garmisch Partenkirchen 1936,5000m-men,16,NED,Luitzen Dijkstra,8:51.50
Garmisch Partenkirchen 1936,5000m-men,17,HUN,Laszlo Hidveghy,8:53.20
Garmisch Partenkirchen 1936,5000m-men,18,LAT,Alfons Bērziņš,8:53.40
Garmisch Partenkirchen 1936,5000m-men,19,AUT,Wilhelm Löwinger,8:53.90
Garmisch Partenkirchen 1936,5000m-men,20,NOR,Edward Wangberg,8:54.70
Garmisch Partenkirchen 1936,5000m-men,21,JPN,Seien Kin,8:55.90
Garmisch Partenkirchen 1936,5000m-men,22,FIN,Ake Ekman,9:00.40
Garmisch Partenkirchen 1936,5000m-men,22,EST,Alexander Mitt,9:00.40
Garmisch Partenkirchen 1936,5000m-men,24,AUT,Karl Prochaska,9:02.60
Garmisch Partenkirchen 1936,5000m-men,25,CAN,Thomas White,9:04.50
Garmisch Partenkirchen 1936,5000m-men,26,SWE,Axel Johansson,9:06.40
Garmisch Partenkirchen 1936,5000m-men,27,JPN,Yushoku Cho,9:08.70
Garmisch Partenkirchen 1936,5000m-men,27,JPN,Seitoku Ri,9:08.70
Garmisch Partenkirchen 1936,5000m-men,29,LAT,Arvids Lejnieks,9:11.90
Garmisch Partenkirchen 1936,5000m-men,30,LAT,Janis Andriksons,9:15.00
Garmisch Partenkirchen 1936,5000m-men,31,JPN,Kunio Nando,9:20.10
Garmisch Partenkirchen 1936,5000m-men,32,TCH,Jaromir Turnovsky,9:25.80
Garmisch Partenkirchen 1936,5000m-men,33,AUS,George Kenneth Kennedy,9:48.90
Garmisch Partenkirchen 1936,5000m-men,34,TCH,Oldrich Hanc,10:03.00
Garmisch Partenkirchen 1936,5000m-men,35,BEL,James Graeffe,10:52.60
Garmisch Partenkirchen 1936,10000m-men,1,NOR,Ivar Ballangrud,17:24.30
Garmisch Partenkirchen 1936,10000m-men,2,FIN,Birger Wasenius,17:28.20
Garmisch Partenkirchen 1936,10000m-men,3,AUT,Max Stiepl,17:30.00
Garmisch Partenkirchen 1936,10000m-men,4,NOR,Charles Mathisen,17:41.20
Garmisch Partenkirchen 1936,10000m-men,5,FIN,Ossian Blomqvist,17:42.40
Garmisch Partenkirchen 1936,10000m-men,6,NED,Jan Langedijk,17:43.70
Garmisch Partenkirchen 1936,10000m-men,7,FIN,Antero Ojala,17:46.60
Garmisch Partenkirchen 1936,10000m-men,8,USA,Edward Julius Schroeder,17:52.00
Garmisch Partenkirchen 1936,10000m-men,9,POL,Janusz Kalbarczyk,17:54.00
Garmisch Partenkirchen 1936,10000m-men,10,NOR,Michael Staksrud,17:56.70
Garmisch Partenkirchen 1936,10000m-men,11,AUT,Karl Wazulek,17:57.10
Garmisch Partenkirchen 1936,10000m-men,12,GER,Willi Sandner,18:02.00
Garmisch Partenkirchen 1936,10000m-men,13,JPN,Seien Kin,18:02.70
Garmisch Partenkirchen 1936,10000m-men,14,HUN,Laszlo Hidveghy,18:04.00
Garmisch Partenkirchen 1936,10000m-men,15,GER,Heinz Sames,18:04.30
Garmisch Partenkirchen 1936,10000m-men,16,NED,Adolf Fredrik Van Der Scheer,18:04.90
Garmisch Partenkirchen 1936,10000m-men,17,NED,Roelof Koops,18:11.50
Garmisch Partenkirchen 1936,10000m-men,18,NOR,Edward Wangberg,18:15.80
Garmisch Partenkirchen 1936,10000m-men,19,LAT,Alfons Bērziņš,18:22.50
Garmisch Partenkirchen 1936,10000m-men,20,NED,Luitzen Dijkstra,18:23.60
Garmisch Partenkirchen 1936,10000m-men,21,CAN,Thomas White,18:25.30
Garmisch Partenkirchen 1936,10000m-men,22,SWE,Axel Johansson,18:38.20
Garmisch Partenkirchen 1936,10000m-men,23,LAT,Arvids Lejnieks,18:41.20
Garmisch Partenkirchen 1936,10000m-men,24,AUT,Wilhelm Löwinger,18:46.50
Garmisch Partenkirchen 1936,10000m-men,25,JPN,Seitoku Ri,18:50.30
Garmisch Partenkirchen 1936,10000m-men,26,JPN,Yushoku Cho,19:00.10
Garmisch Partenkirchen 1936,10000m-men,27,AUT,Franz Ortner,19:19.10
Garmisch Partenkirchen 1936,10000m-men,28,BEL,Charles De Ligne,23:32.90
St Moritz 1948,500m-men,1,NOR,Finn Helgesen,43.10
St Moritz 1948,500m-men,2,USA,Ken Bartholomew,43.20
St Moritz 1948,500m-men,2,NOR,Thomas Byberg,43.20
St Moritz 1948,500m-men,2,USA,Robert Fitzgerald,43.20
St Moritz 1948,500m-men,5,USA,Kenneth Henry,43.30
St Moritz 1948,500m-men,6,NOR,Sverre Farstad,43.60
St Moritz 1948,500m-men,6,NOR,Torodd Hauer,43.60
St Moritz 1948,500m-men,6,USA,Delbert Thomas Lamb,43.60
St Moritz 1948,500m-men,6,CAN,Frank Stack,43.60
St Moritz 1948,500m-men,10,SWE,Mats Bolmstedt,43.70
St Moritz 1948,500m-men,11,SWE,Harald Janemar,44.00
St Moritz 1948,500m-men,11,SWE,Ake Seyffarth,44.00
St Moritz 1948,500m-men,13,FIN,Keijo Lehdikkö,44.70
St Moritz 1948,500m-men,14,HUN,Janos Kilian,44.80
St Moritz 1948,500m-men,14,FIN,Antero Ojala,44.80
St Moritz 1948,500m-men,16,FIN,Lauri Parkkinen,45.20
St Moritz 1948,500m-men,17,CAN,Gordon Audley,45.30
St Moritz 1948,500m-men,17,FIN,Kalevi Laitinen,45.30
St Moritz 1948,500m-men,19,CAN,Abraham Hardy,45.50
St Moritz 1948,500m-men,20,SWE,Göthe Hedlund,45.60
St Moritz 1948,500m-men,21,KOR,Young Chin Choi,45.70
St Moritz 1948,500m-men,21,HUN,Kornel Pajor,45.70
St Moritz 1948,500m-men,23,NED,Aad De Koning,45.90
St Moritz 1948,500m-men,23,KOR,Hyo Chang Lee,45.90
St Moritz 1948,500m-men,25,GBR,John Dennis Cronshey,46.00
St Moritz 1948,500m-men,26,TCH,Vladimir Kolar,46.10
St Moritz 1948,500m-men,27,NED,Anton Huiskes,46.20
St Moritz 1948,500m-men,28,NED,Cornelis Broekman,46.30
St Moritz 1948,500m-men,29,DEN,Aage Justesen,46.40
